draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
553,1993-04-11,1993,4,11,3681,5499,237,2231,9496,4480,8565,3757,1564,1961,5857,1645,8354,,,,,,,,,,
554,1993-04-14,1993,4,14,918,522,970,509,5747,6943,2734,814,7974,5781,694,7174,3063,,,,,,,,,,
555,1993-04-15,1993,4,15,8249,1910,5766,9399,8972,526,419,2900,1001,1204,2973,4572,5225,,,,,,,,,,
556,1993-04-18,1993,4,18,3832,9664,7312,6954,1409,5908,3201,5738,6403,583,4705,5649,6611,,,,,,,,,,
557,1993-04-21,1993,4,21,9336,9893,9351,5162,1987,5559,3722,3798,7094,4768,8457,2735,1281,,,,,,,,,,
558,1993-04-22,1993,4,22,4328,4542,5316,9383,9283,1206,6499,9185,1791,9760,1711,1499,40,,,,,,,,,,
559,1993-04-25,1993,4,25,7856,4721,3262,913,408,1633,3605,8866,8269,8895,2589,6996,3189,,,,,,,,,,
560,1993-04-28,1993,4,28,8714,1634,5369,5360,9630,6660,5729,3351,735,1497,7672,4853,5494,,,,,,,,,,
561,1993-04-29,1993,4,29,1458,2922,3006,7880,1522,7658,6328,6581,4142,2462,4363,4946,5919,,,,,,,,,,
562,1993-05-02,1993,5,2,8627,4278,6020,7107,7094,7332,1361,9486,43,7954,4590,6109,4888,,,,,,,,,,
563,1993-05-05,1993,5,5,6605,4469,2371,3311,1206,880,460,7729,5367,6386,5723,4455,4665,,,,,,,,,,
564,1993-05-06,1993,5,6,9214,8159,9197,1218,849,642,2602,2287,5302,8587,7505,6942,658,,,,,,,,,,
565,1993-05-09,1993,5,9,7011,8313,8254,7919,3305,8726,4644,3702,1697,5813,5255,7952,7735,,,,,,,,,,
566,1993-05-12,1993,5,12,5773,8016,2249,8969,4104,576,6554,7499,1195,4901,6889,4530,784,,,,,,,,,,
567,1993-05-13,1993,5,13,4258,1202,506,4599,452,9679,458,2846,3062,7132,1145,4066,5798,,,,,,,,,,
568,1993-05-16,1993,5,16,1819,6329,8163,2504,3049,3404,5689,9508,5335,1,1841,9917,3354,,,,,,,,,,
569,1993-05-19,1993,5,19,1634,5962,1023,180,8931,9142,9547,8174,1051,1873,2892,7206,6790,,,,,,,,,,
570,1993-05-20,1993,5,20,5060,7233,5534,5149,6035,1149,1868,5824,7780,8387,2970,1934,761,,,,,,,,,,
571,1993-05-23,1993,5,23,9365,7856,9954,6183,3979,891,6641,200,1160,8553,3827,7641,9362,,,,,,,,,,
572,1993-05-26,1993,5,26,5014,2379,5196,2390,515,1885,902,5314,5892,8321,3304,9807,6652,,,,,,,,,,
573,1993-05-27,1993,5,27,5246,9602,5389,775,3308,3784,2450,6036,37,4167,3065,9381,3045,,,,,,,,,,
574,1993-05-30,1993,5,30,1481,6013,1319,768,1967,1629,5255,7325,8100,7945,2343,8197,8795,,,,,,,,,,
575,1993-06-02,1993,6,2,285,7523,4999,5664,4500,4690,2127,2690,388,6073,1798,2981,8841,,,,,,,,,,
576,1993-06-03,1993,6,3,1357,9564,4298,3927,7993,5735,7941,3126,295,5703,1266,1139,2098,,,,,,,,,,
577,1993-06-06,1993,6,6,2601,2742,5111,4581,4676,462,3337,9761,6815,2555,4539,3790,1841,,,,,,,,,,
578,1993-06-09,1993,6,9,7762,1418,4674,4200,3097,9517,2975,6797,8693,4343,7467,1487,4129,,,,,,,,,,
579,1993-06-10,1993,6,10,1168,1518,9394,5063,5742,9553,8415,4238,4961,5175,6112,1065,7742,,,,,,,,,,
580,1993-06-13,1993,6,13,8066,4112,6696,4710,9952,7900,6611,5093,5588,5417,3986,2009,8273,,,,,,,,,,
581,1993-06-16,1993,6,16,5300,6840,5788,2113,1944,9138,477,5390,3340,3198,967,7054,5348,,,,,,,,,,
582,1993-06-17,1993,6,17,3819,3730,3534,4385,4341,1861,2982,99,1860,7076,6285,4306,205,,,,,,,,,,
